"type","genotype","N","mean","sd","se","gene","log2Mean","lineGroup"
"180","Cother","tf2",4,144.662807204801,55.4105593966999,27.7052796983499,"Solyc01g008600",7.1765502425475,"tf2.Solyc01g008600"
"181","Cother","wt",3,111.834492860501,9.95714137219417,5.74875825159546,"Solyc01g008600",6.80522141376895,"wt.Solyc01g008600"
"182","Ambr","tf2",4,2.80390283815807,1.88466703860834,0.94233351930417,"Solyc01g008920",1.48743635743121,"tf2.Solyc01g008920"
"183","Ambr","wt",3,2.2598316375829,0.395645319534106,0.228425931736631,"Solyc01g008920",1.17621529269704,"wt.Solyc01g008920"
"184","Aother","tf2",4,45.5405097216021,65.632342524301,32.8161712621505,"Solyc01g008920",5.50907853411579,"tf2.Solyc01g008920"
"185","Aother","wt",5,3.13142782486466,0.91679663806623,0.410003920851873,"Solyc01g008920",1.64682062717522,"wt.Solyc01g008920"
"186","Bmbr","tf2",3,2.41989674070523,1.3368956016201,0.771857035473791,"Solyc01g008920",1.27494548764416,"tf2.Solyc01g008920"
"187","Bmbr","wt",4,1.9471075231668,2.2308304437202,1.1154152218601,"Solyc01g008920",0.961332554759976,"wt.Solyc01g008920"
"188","Bother","tf2",4,4.09462664898423,2.76624724697817,1.38312362348908,"Solyc01g008920",2.03373191188713,"tf2.Solyc01g008920"
"189","Bother","wt",4,1.47898498966057,0.931553911381309,0.465776955690655,"Solyc01g008920",0.564607410481503,"wt.Solyc01g008920"
"190","Cmbr","tf2",4,3.77284454682436,3.51048625152487,1.75524312576244,"Solyc01g008920",1.9156526577558,"tf2.Solyc01g008920"
"191","Cmbr","wt",6,3.02404638669605,3.93813965347428,1.60773878113882,"Solyc01g008920",1.59648026963276,"wt.Solyc01g008920"
"192","Cother","tf2",4,6.85800232123593,6.41351284734961,3.20675642367481,"Solyc01g008920",2.77778839258428,"tf2.Solyc01g008920"
"194","Ambr","tf2",4,374.373664386204,59.0738946971447,29.5369473485724,"Solyc01g008960",8.54833514073301,"tf2.Solyc01g008960"
"195","Ambr","wt",3,455.258469991081,16.4754962213781,9.51213217844532,"Solyc01g008960",8.83054204827383,"wt.Solyc01g008960"
"196","Aother","tf2",4,293.033550441519,82.4248846372812,41.2124423186406,"Solyc01g008960",8.19492204310681,"tf2.Solyc01g008960"
"197","Aother","wt",5,369.870505765211,75.6393946350738,33.8269656361916,"Solyc01g008960",8.53087645135375,"wt.Solyc01g008960"
"198","Bmbr","tf2",3,245.201320540429,161.988050899348,93.5238447922414,"Solyc01g008960",7.93782293850977,"tf2.Solyc01g008960"
"199","Bmbr","wt",4,351.057407950213,52.4362990381481,26.2181495190741,"Solyc01g008960",8.45556316159462,"wt.Solyc01g008960"
"200","Bother","tf2",4,347.418039208681,16.3826017813308,8.19130089066541,"Solyc01g008960",8.44052885574368,"tf2.Solyc01g008960"
"201","Bother","wt",4,381.286890859937,147.600060004353,73.8000300021764,"Solyc01g008960",8.57473311995632,"wt.Solyc01g008960"
